Date,Dividends
2011-12-16,0.77
2012-06-15,0.688
2016-09-16,1.08207
1996-06-21,0.351
2017-03-17,1.033
2000-09-14,0.0
1996-09-20,0.352
2013-03-15,0.694
2017-06-16,1.183
2015-12-18,1.21155
2007-03-16,0.551
2011-06-17,0.628
2015-09-18,1.03343
1994-09-19,0.0
2007-06-15,0.656
2011-09-16,0.625
2016-03-18,1.0496
2008-03-20,0.642
2012-03-16,0.614
2016-06-17,1.07844
2016-12-16,1.32893
1993-03-19,0.213
1993-09-17,0.286
2001-12-21,0.393
2002-06-21,0.353
1996-12-20,0.367
1998-06-19,0.352
2002-09-20,0.378
2019-03-15,1.233
1994-06-17,0.305
1997-03-21,0.299
1998-09-18,0.359
2017-12-15,1.351
1994-03-18,0.271
2017-09-15,1.235
2002-12-20,0.436
1997-06-20,0.35
1997-12-19,0.38
2001-09-21,0.369
2018-03-16,1.097
1993-06-18,0.318
1993-12-17,0.317
1997-09-19,0.348
1998-03-20,0.313
2018-06-15,1.246
1995-03-17,0.268
1995-09-15,0.312
2007-12-21,0.775
2008-06-20,0.669
2012-09-21,0.779
2004-06-18,0.414
2003-12-19,0.516
2008-09-19,0.691
1998-12-18,0.392
2000-06-16,0.348
2004-09-17,0.469
2003-03-21,0.354
1994-12-16,0.363
1999-03-19,0.32
2000-09-15,0.375
2009-03-20,0.561
2013-06-21,0.839
1994-09-16,0.288
1996-03-15,0.285
2000-12-27,0.0
2008-12-19,0.719
2004-12-17,0.568
2003-06-20,0.36
2007-09-21,0.719
1999-06-18,0.405
1999-12-17,0.348
2003-09-19,0.4
2004-03-19,0.395
1995-06-16,0.316
1995-12-15,0.382
1999-09-17,0.372
2000-03-17,0.371
2012-12-21,1.022
2009-12-18,0.59
2010-06-18,0.531
2014-09-19,0.93919
2005-12-16,0.672
2006-06-16,0.555
2010-09-17,0.602
2000-12-15,0.411
2005-03-18,0.467
2006-09-15,0.579
2015-03-20,0.93081
2001-03-16,0.316
2011-03-18,0.553
2013-12-20,0.98025
2015-06-19,1.03007
2009-06-19,0.518
2010-12-17,0.653
2013-09-20,0.83795
2005-06-17,0.488
2006-12-15,0.793
2009-09-18,0.508
2004-11-15,0.351
2001-06-15,0.346
2005-09-16,0.522
2006-03-17,0.519
2014-03-21,0.82461
2018-12-21,1.435
2002-03-15,0.331
2010-03-19,0.48
2014-06-20,0.93669
2014-12-19,1.13492
2018-09-21,1.323
